type, hp, atk, lag, posx, posy
3 60 20 600 4 36
3 60 20 600 6 25
3 60 20 600 11 25
3 60 20 600 6 18
4 100 15 500 14 36
3 60 20 600 20 25
4 100 15 500 24 26
4 100 15 500 34 27
5 100 30 650 43 33
5 100 30 650 41 31
5 100 30 650 41 21
5 100 30 650 49 19
4 100 15 500 49 22
4 100 15 500 53 24
5 100 30 650 57 32
5 100 30 650 54 38
5 100 30 650 67 24
5 100 30 650 74 28
5 100 30 650 79 33
6 120 25 500 86 31
6 120 25 500 91 33
6 120 25 500 90 24
5 100 30 650 90 18
5 100 30 650 94 16
6 120 25 500 90 11
7 150 45 400 96 8
7 150 45 400 83 6
7 150 45 400 78 8
7 150 45 400 65 7
7 150 45 400 47 7
6 120 25 500 37 8
6 120 25 500 34 3
7 150 45 400 28 14
7 150 45 200 28 8
7 150 45 200 18 7
7 150 45 200 11 8
7 150 45 200 8 5
